,ACDC,,,FCA
index,MOJOFM,A2A,MOJOFM,A2A
release169--release170,94.12,98.14120488,90.57,97.21257107
release170--release171,94.74,98.60013904,92.74,99.94696151
release171--release172,95.57,98.90432586,92.77,99.98573466
release172--release173,93.43,98.3933588,84.47,97.39756592
release173--release174,92.5,98.10743463,86.75,99.98586858
release174--release175,92.5,96.99219372,81.77,94.68891295
release175--release176,94.9,98.76698216,86.66,99.9597045
release176--release177,93.38,98.27952148,86.24,98.19462116
release177--release178,93.16,98.35854936,85.73,99.98924985
release178--release179,94.95,98.72523521,84.08,95.70732128
release179--release180,94.21,98.58761596,87.25,99.98485144
release180--release181,93.22,96.79309783,79.41,93.11879186
