a40421f009b7815ba573bdb99179717e1f8fce8e,/,/,    Ignore a couple tests.  I think Sergey forgot to svn add a testcase,/,/,0
e55aa79d1eaab148c41e9e31ac43ab515a5961ef,/,/,    Remove unneeded SuppressWarnings,/,/,0
059cf50e810a65285dc7c49eba6492914c11216a,CXF-2161,Bug,WSA handler class MAPCodec is not decoding From header,None,Major,1
a027a3c87b4eda59c04b8580eaf80332c8d553d3,/,/,    Fixing NPE caused by JAXRS endpoints,/,/,0
92ae40b38620bfe45463d07d728f31f3a1dea4fb,/,/,    Fixing NPE caused by JAXRS endpoints,/,/,0
c338c36cf06ecdf7dbfae62ed253e1366b0b645d,CXF-2153,Improvement,Support nested parameter injection into beans,JAX-RS,Major,1
957dd5d98751556bf2d596bdc79995f4b6d2c2b9,CXF-2130,Wish,adjust log level in TypeUtil,Aegis Databinding,Trivial,2
 ,CXF-2143,Bug,Timezone problems with special dates (e.g. birthdays),Aegis Databinding,Major
01f4f43275701268fa1d4c15f122c3a68c34871c,/,/,    added javadoc comments,/,/,0
f0aad11003a81e42ec4168210b0d5544f8f5c4fb,/,/,    Forgot to commit the necessary test changes,/,/,0
d40eb75cb6810398fe74e676c0b508286677ef89,CXF-2158,Bug,Mix up of ID and ID reference of security token in signature causes WCF service to throw Cannot resolve KeyInfo for verifying signature,WS-* Components,Major,1
3ad0469e149e2accba0c1b6aab5bf71679f33610,/,/,    In some cases  some of the message properties were not being set.,/,/,0
a3a936b69e4f07893d05ec75f708144700ff8c95,CXF-2148,Sub-task,wsdl2java does not generate @XmlJavaTypeAdapter in SEI,Tooling,Major,4
 ,CXF-2147,Sub-task,wsdl2java does not generate @XmlList with doc/lit wsdl,Tooling,Major
 ,CXF-2149,Bug,java.lang.ArrayStoreException getting headers in handler,None,Major
 ,CXF-2152,Bug,Certain Spring AOP proxies cannot be used any more as service bean since CXF 2.1.4 because the real (non-proxy) target class is not found correctly by SpringAopClassHelper,JAX-WS Runtime,Major
0ddeb575cfbfcb226f48e0e7905e03a8812eb6fc,CXF-2145,Bug,Proxy in JCA connector throws exception due to concurrency issues,Integration,Major,1
1bd4da978471e8e19c063775144b3002ab308421,/,/,    [CXf-2151] Fix for finding all the interceptors applied.  (From Dominic Harries),/,/,0
96948120dc1b0c0c25f3589c988317dc3fb10d30,/,/,    Strip the schemaLocation from imports for the "file" based things as well.  Make sure the line numbers are actually propogated up.,/,/,0
17b9b729bc7d54f823b44e549a80d986b8918363,/,/,    Workaround a bug in xmlschema where namespaces are being mucked up a bit.,/,/,0
f7ce4c814ccaa2bc292b5ad22943fb9a17162f85,/,/,    Make sure request opertation policies can provide interceptors,/,/,0
443beb1cf463cd42b83d5e247670d591d47c7e80,/,/,    Update xmlbeans versions and make sure a single version is used across everything.,/,/,0
597daad36b4753e59bfd565065ea97ad964ed46b,/,/,    Suppress stupid stack traces.,/,/,0
ffb6306a227fcdf418e4438906cf7ddb835753f6,CXF-2143,Bug,Timezone problems with special dates (e.g. birthdays),Aegis Databinding,Major,1
