CommitID,NMF,TotalAddLines,TotalDeleteLines,LC,LC_1,FileAdd,FileDelete,NAD,NUC,AGE,NMS,NMD,Entropy ,MLMF,NDVE,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NFC,NIR,a2a,Tag
797b183088e6af4ee52ee36eaa17ab2365a7ab82,10,389,93,296,482,1,0,1,6,249,3,7,2.511838119,2637,1,224,21,471,408,63,16750,15210,1540,125,86,39,2,99.07239951,NoArch
7f732e3b7007a330147204213daf5a4e3d8927b9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,21,0,0,0,0,0,0,0,0,0,0,100,NoArch
4b8965a83fbe9722baa97fd70913b36b03f2f129,3,26,51,25,77,0,0,0,3,133,2,3,0.346563258,589,1,226,19,63,67,4,3068,3181,113,24,24,0,0,100,NoArch
7ac3e21db0ee27a40e2bf037209d6d54a5e215e4,1,51,54,3,105,0,0,0,3,2,1,1,0,189,1,227,20,23,24,1,1133,1168,35,3,3,0,0,100,NoArch
4a6d55f30d927ff5156078b6ddb3644e05fa25e4,37,288,496,208,784,0,1,1,7,292,3,23,4.142141717,6094,1,228,21,678,659,19,31543,32355,812,292,309,17,0,94.73189087,Arch
96a967d26765201b6d6547bd7ced9f68ac6bfdd3,5,18,12,6,30,0,0,0,4,99,2,4,2.060754663,1251,1,229,22,173,172,1,6304,6234,70,85,85,0,0,99.95291902,NoArch
f201e488773687a246372581fb3c83c49c3ea346,14,1080,1335,255,2415,3,2,5,8,80,1,2,3.155563113,2792,2,7,1,286,315,29,11596,12419,823,124,139,15,1,95.33857251,Arch
e88330ec5a28f56b056b102c5082c8e649ced512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,22,0,0,0,0,0,0,0,0,0,0,100,NoArch
dcb5a890f3785df013ff9207f1b098995fc8f750,2,10,4,6,14,0,0,0,8,213,1,2,0.591672779,494,1,231,23,58,56,2,2329,2297,32,13,12,1,0,100,NoArch
4cc00eec7b6f4a78dcb31d5a644245f9f42ef8a1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArch
acfb2502ef6eb67cc1417e33492e2c81a84a9b86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,100,NoArch
98de7dd6fcbc15081ac77d323f7b06f8ebfdf2cc,18,139,168,29,307,0,0,0,16,265,4,14,3.917013303,6987,2,27,3,1308,1314,6,41161,41665,504,343,343,0,0,96.71343767,Arch
a70866b585bc5c6438055818563986e81216afef,2,41,44,3,85,0,0,0,3,344,1,2,0.368115005,725,2,28,4,51,52,1,4562,4600,38,17,17,0,0,100,NoArch
b9a79c91a7372a5f5020312f3857801c5c4c8f98,8,60,28,32,88,0,0,0,6,227,3,8,2.852572292,2615,2,29,5,402,402,0,15737,15485,252,119,119,0,0,100,NoArch
