NMF,TotalAddLines,TotalDeleteLines,LC,FileAdd,FileDelete,NAD,NDVE,NUC,AGE,NMS,NMD,Entropy ,MLMF,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NMC,NIR,a2a,Tag
15,826,102,724,3,0,3,1,6,19,1,4,3.047304129,4515,68,9,720,661,59,25337,21908,3429,364,329,35,1,99.54594595,NoArch
3,90,4,86,0,0,0,8,22,66,1,2,0.288400914,1550,4,2,162,158,4,9839,9342,497,43,41,2,1,100.0,NoArch
7,52,5,47,0,0,0,8,89,111,1,5,2.180036168,32262,1396,6,2491,2490,1,118381,118168,213,1321,1320,1,1,100.0,NoArch
6,155,6,149,0,0,0,57,163,20,1,5,1.753225677,13255,2,0,833,822,11,61972,60997,975,464,459,5,2,100.0,NoArch
43,267,303,36,1,0,1,4,206,234,4,23,4.232244076,33921,1901,2,4134,4138,4,168479,168707,228,1747,1751,4,1,99.9657135,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1363,8,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
1,15,9,6,0,0,0,22,66,53,1,1,0.0,1992,16,0,275,274,1,8984,8963,21,73,73,0,1,100.0,NoArch
2,111,0,111,0,0,0,18,60,186,1,2,0.956888666,1864,0,0,161,155,6,9440,8833,607,103,99,4,1,100.0,NoArch
3,82,4,78,0,0,0,5,12,567,1,3,0.521949079,1287,3,0,89,87,2,5953,5455,498,60,59,1,1,100.0,NoArch
15,67,60,7,0,0,0,2,58,421,2,11,3.441132056,13325,1384,2,1406,1405,1,61664,61564,100,473,472,1,0,100.0,NoArch
1,31,11,20,0,0,0,45,118,1,1,1,0.0,9207,17,3,492,492,0,30701,30664,37,439,439,0,1,100.0,NoArch
3,10,6,4,0,0,0,6,32,36,1,3,1.405639062,3131,4,3,355,354,1,14435,14417,18,147,147,0,1,100.0,NoArch
7,239,35,204,1,0,1,3,28,23,1,4,1.954782421,2332,61,5,256,241,15,10719,9927,792,128,118,10,1,99.97132822,NoArch
1,16,11,5,0,0,0,9,20,83,1,1,0.0,698,228,17,76,75,1,2590,2552,38,23,23,0,0,100.0,NoArch
1,239,215,24,0,0,0,2,7,2259,1,1,0.0,354,1779,4,40,31,9,1631,1435,196,33,28,5,0,100.0,NoArch
2,55,16,39,0,0,0,7,31,259,1,2,0.312733376,746,1912,3,76,72,4,4094,3847,247,66,63,3,1,100.0,NoArch
3,94,1,93,0,0,0,9,26,448,1,2,1.49726324,1362,0,0,112,104,8,5523,5136,387,85,81,4,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,23,1,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
4,86,47,39,0,0,0,5,25,0,1,2,1.624356258,7479,1391,9,361,365,4,18317,18220,97,308,310,2,2,100.0,NoArch
11,68,97,29,0,0,0,6,110,21,3,6,2.915187223,15338,4,0,1847,1846,1,74723,74794,71,686,685,1,1,100.0,NoArch
5,117,4,113,0,0,0,11,32,296,1,4,1.55427429,2078,0,0,227,216,11,13058,12397,661,75,69,6,1,100.0,NoArch
