NMF,TotalAddLines,TotalDeleteLines,LC,FileAdd,FileDelete,NAD,NDVE,NUC,AGE,NMS,NMD,Entropy ,MLMF,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NFC,NIR,a2a,Tag
1,13,15,2,0,0,0,3,19,39,1,1,0.0,316,709,18,31,32,1,1401,1416,15,20,20,0,0,100.0,NoArch
46,264,86,178,0,0,0,2,66,348,3,34,5.311692165,8318,901,8,575,502,73,48189,47153,1036,244,244,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,896,3,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
14,492,239,253,0,0,0,2,66,269,2,7,2.54029951,3986,561,8,490,463,27,18004,17100,904,218,206,12,1,100.0,NoArch
3,83,52,31,0,0,0,3,9,616,1,2,1.083510103,470,77,21,63,59,4,2394,2178,216,34,31,3,1,100.0,NoArch
1,0,5,5,0,0,0,5,10,120,1,1,0.0,244,125,20,33,34,1,1599,1639,40,15,16,1,0,100.0,NoArch
3,167,2,165,2,0,2,2,3,4,1,1,1.055743984,138,74,23,34,21,13,858,472,386,20,17,3,0,99.82622128,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,2,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
1,1,1,0,0,0,0,2,2,7,1,1,0.0,97,17,13,9,9,0,445,451,6,4,4,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,868,6,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
1,2,1,1,0,0,0,2,9,433,1,1,0.0,178,63,0,23,23,0,1220,1215,5,8,8,0,1,100.0,NoArch
9,80,34,46,0,0,0,1,27,14,1,5,2.777660477,2247,201,21,275,258,17,11252,10864,388,105,104,1,0,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,258,23,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
4,51,18,33,0,0,0,3,32,10,1,1,1.779878161,567,522,11,60,59,1,3608,3418,190,14,13,1,1,99.96212121,NoArch
1,20,14,6,0,0,0,4,14,0,1,1,0.0,98,43,17,5,5,0,530,513,17,3,3,0,0,99.89583333,NoArch
1,4,4,0,0,0,0,2,3,82,1,1,0.0,101,427,35,8,8,0,451,446,5,5,5,0,0,100.0,NoArch
1,2,2,0,0,0,0,1,11,0,1,1,0.0,238,196,37,21,21,0,2062,2062,0,2,2,0,0,100.0,NoArch
1,0,6,6,0,0,0,2,3,3,1,1,0.0,156,32,10,11,11,0,891,944,53,10,10,0,0,100.0,NoArch
26,2560,0,2560,26,0,26,1,1,0,1,4,4.426953384,0,190,2,286,0,286,12408,0,12408,168,0,168,1,99.08890116,NoArch
9,349,288,61,0,0,0,3,13,99,1,6,2.614183344,1210,47,30,96,96,0,7099,6740,359,40,43,3,0,99.75935244,NoArch
3,14,53,39,0,0,0,2,3,7,2,2,0.85721853,393,690,13,10,20,10,1517,1662,145,4,7,3,1,99.79256423,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,736,14,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
1,2,3,1,0,0,0,5,32,341,1,1,0.0,424,180,2,32,32,0,2889,2904,15,16,16,0,1,100.0,NoArch
28,132,63,69,1,0,1,1,28,229,2,12,4.266557893,4183,306,10,524,521,3,21340,21264,76,239,235,4,0,99.88095238,NoArch
1,1,1,0,0,0,0,5,20,1115,1,1,0.0,204,122,17,16,16,0,1301,1299,2,4,4,0,1,100.0,NoArch
1,35,15,20,0,0,0,2,10,0,1,1,0.0,77,176,3,12,10,2,412,387,25,9,8,1,1,100.0,NoArch
15,166,74,92,0,0,0,2,54,0,2,7,3.625633761,3676,414,10,444,428,16,16019,15896,123,191,182,9,0,100.0,NoArch
1,97,0,97,1,0,1,1,1,0,1,1,0.0,0,371,1,17,0,17,505,0,505,8,0,8,1,98.88532813,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,46,7,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
1,17,16,1,0,0,0,2,2,284,1,1,0.0,254,10,1,31,34,3,1209,1265,56,21,22,1,0,100.0,NoArch
6,32,14,18,0,0,0,2,34,702,4,5,2.018870212,1235,216,16,85,81,4,8080,7926,154,28,28,0,1,100.0,NoArch
2,14,2,12,0,0,0,3,29,28,1,2,0.988699408,673,152,3,97,96,1,3425,3349,76,45,45,0,0,100.0,NoArch
1,1,1,0,0,0,0,4,9,50,1,1,0.0,493,118,3,24,24,0,2092,2086,6,8,8,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,3,3,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
6,91,3,88,0,0,0,1,5,2,1,2,2.563683832,2891,10,10,262,252,10,15209,14508,701,128,122,6,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,265,13,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,89,4,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
3,22,6,16,0,0,0,4,19,254,1,1,1.185616163,682,432,40,62,60,2,4320,4249,71,24,24,0,0,100.0,NoArch
1,6,3,3,0,0,0,2,6,98,1,1,0.0,222,481,11,34,33,1,899,891,8,17,17,0,0,100.0,NoArch
164,1304,4011,2707,0,6,6,4,68,144,4,73,5.497529278,45862,567,12,5248,5531,283,213873,224210,10337,1960,2038,78,0,99.55686854,NoArch
13,339,470,131,0,0,0,2,54,37,3,13,2.632269553,3337,75,3,215,217,2,21874,23031,1157,105,91,14,0,100.0,NoArch
3,167,2,165,2,0,2,2,3,4,1,1,1.055743984,138,74,23,34,21,13,858,472,386,20,17,3,0,99.82622128,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,128,12,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
