NMF, TotalAddLines , TotalDeleteLines ,LC,LC_1, FileAdd , FileDelete ,NAD, NUC, AGE, NMS, NMD, Entropy ,MLMF,NDVE,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NFC,NIR,a2a,Tag
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,15,6,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
1,1,2,1,3,0,0,0,3,1029,1,1,0.0,237,3,1,0,55,55,0,1385,1383,2,14,14,0,2,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,314,15,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
13,92,175,83,267,0,0,0,8,0,1,3,2.753568677,2914,2,220,32,433,441,8,13311,13575,264,203,208,5,2,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,439,4,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,102,2,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
2,12,0,12,12,0,0,0,17,970,1,2,1.0,808,3,2,2,120,120,0,4052,4052,0,78,78,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,4,3,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,6,1,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,148,8,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,70,2,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,23,12,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,11,2,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
5,34,27,7,61,0,0,0,48,13,1,3,1.521099626,1942,1,133,9,508,508,0,12028,11944,84,161,160,1,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,7,1,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
5,25,92,67,117,0,0,0,17,80,1,2,0.642610328,812,2,13,1,71,85,14,3545,3865,320,52,63,11,1,100.0,NoArch
2,7,1,6,8,0,0,0,23,36,1,2,0.811278124,666,3,5,5,187,185,2,4586,4553,33,65,64,1,1,100.0,NoArch
4,46,27,19,73,0,0,0,30,82,1,4,1.515272249,1125,2,197,20,206,207,1,6725,6585,140,86,87,1,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,57,5,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,57,1,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
1,1,1,0,2,0,0,0,12,131,1,1,0.0,2616,8,0,0,305,305,0,9012,9012,0,282,282,0,1,100.0,NoArch
2,87,9,78,96,0,0,0,81,784,1,2,0.946422051,1383,3,476,0,336,325,11,9174,8629,545,113,106,7,1,100.0,NoArch
7,101,8,93,109,1,0,1,102,1215,1,6,1.159378587,1290,5,0,0,331,323,8,8202,7627,575,109,101,8,1,99.73418394,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,36,6,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
1,1,16,15,17,0,0,0,5,21,1,1,0.0,366,2,75,4,68,69,1,1526,1617,91,33,33,0,1,100.0,NoArch
2,16,5,11,21,0,0,0,5,2313,1,2,0.958711883,1134,2,482,4,116,114,2,5205,5169,36,41,41,0,1,100.0,NoArch
