@relation 'FinalSampleData_test-weka.filters.unsupervised.attribute.Remove-R1-12,14-26,28'

@attribute ' Entropy ' numeric
@attribute a2a numeric

@data
2.626929,100
0,100
0,100
0,98.940678
0,100
2.474282,100
0,100
0.722177,100
0,100
0,100
4.150871,99.850299
1.235974,98.065984
0.764205,99.44645
0,100
0,100
0.581321,100
0,100
0.549376,99.608227
3.161148,98.524649
0,100
0,100
0,100
0.985228,99.852941
2.75683,100
1.138594,100
0,100
0,100
0,100
0,100
2.498884,99.697885
3.442448,100
0.992774,100
0,100
0,100
0,100
0,100
0.601619,100
0,100
3.366932,100
0,100
0,100
0,100
1.15678,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0.637208,99.943052
1.739752,100
0,100
0,100
0,100
0,100
0,100
0,100
1.142229,98.139256
0,100
0,100
4.5572,100
0.767404,100
0,100
0,100
0,100
0,100
0.996792,100
0,100
0.698125,100
0,100
0,100
0,100
0,100
0.590286,99.915541
0,100
0,100
0,100
0,100
0,100
0,100
3.510763,98.664122
3.090024,100
0,100
0,100
0.515947,100
0.329846,100
0,100
0,100
0,100
0,100
0,100
0.391244,100
0,100
0,100
0,100
1.174269,99.617737
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0.529361,100
0,100
1.138008,99.728261
0,100
0,100
0,100
0,100
0.941423,100
0,100
0,100
0,100
0.99403,100
0,100
3.442448,100
1.283424,100
0,100
0,100
0,100
0,100
2.47839,100
0,100
0,100
0,100
0,100
0.967124,100
0,100
0,100
0,100
0,100
0,100
3.090024,100
0,100
0.581321,100
0,100
0,100
0,100
0.99403,100
0.821035,98.635123
0,100
0.977418,100
0,100
0,100
0.936667,100
0,100
0,100
0,100
0.856405,100
0,100
0,100
0,100
0,100
1.553844,100
0,100
0,99.947424
0,100
0,100
0,100
0.653539,100
0,100
0,100
0,100
0,100
1.226208,99.869622
0,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
1.427413,98.991935
3.519416,100
0,100
0,100
0.522559,99.838319
0,100
0,100
0,100
0,100
0,100
1.962103,100
0,100
0,100
0,100
0,100
0,100
0.748953,100
0,100
1.695472,98.375242
0,100
0,100
0,100
0,100
0.94566,99.975586
1,100
0,100
0,100
0,100
2.240965,100
0,100
0,100
0,100
0,100
6.731633,86.807611
6.733884,86.807611
6.730829,86.807611
6.733075,86.807611
6.730657,86.807611
6.731728,86.807611
6.728199,86.807611
6.730452,86.807611
6.729609,86.807611
