@relation 'FinalSampleData_test-weka.filters.unsupervised.attribute.Remove-R1-11,13-26,28'

@attribute ' NMD' numeric
@attribute a2a numeric

@data
0,100
0,100
0,100
1,100
0,100
0,100
5,98.664122
5,100
0,100
1,100
2,100
2,100
1,100
0,100
1,100
0,100
0,100
2,100
0,100
0,100
0,100
2,99.617737
1,100
1,100
0,100
1,100
0,100
0,100
0,100
2,100
0,100
2,99.728261
0,100
0,100
0,100
1,100
1,100
0,100
1,100
0,100
1,100
0,100
7,100
3,100
0,100
0,100
1,100
0,100
4,100
0,100
0,100
1,100
0,100
2,100
0,100
0,100
0,100
0,100
0,100
5,100
0,100
2,100
0,100
0,100
0,100
1,100
2,98.635123
0,100
2,100
1,100
0,100
2,100
1,100
0,100
0,100
2,100
1,100
1,100
1,100
1,100
2,100
0,100
1,99.947424
1,100
1,100
1,100
1,100
0,100
1,100
0,100
0,100
2,99.869622
1,100
1,100
0,100
0,100
0,100
0,100
0,100
0,100
1,98.991935
3,100
0,100
0,100
2,99.838319
0,100
0,100
0,100
1,100
0,100
2,100
1,100
0,100
0,100
0,100
0,100
2,100
0,100
3,98.375242
1,100
0,100
0,100
1,100
1,99.975586
1,100
1,100
1,100
0,100
3,100
0,100
0,100
1,100
0,100
25,86.807611
25,86.807611
25,86.807611
25,86.807611
25,86.807611
25,86.807611
25,86.807611
25,86.807611
25,86.807611
25,86.807611
25,86.807611
25,86.807611
25,86.280358
25,86.206897
25,86.12766
25,86.12766
25,86.12766
25,86.12766
25,86.12766
25,86.12766
25,86.12766
25,86.12766
25,86.12766
25,86.12766
25,85.835454
25,86.046512
25,86.046512
25,86.046512
25,86.046512
3,91.555243
8,93.822526
3,97.388579
12,95.670996
9,97.435105
1,97.432905
19,88.80814
3,96.160558
28,38.875306
1,97.204659
11,68.274278
8,96.998828
55,82.60208
55,82.556962
55,82.65692
55,82.65692
55,82.65692
55,83.253709
55,83.253709
55,83.253709
55,83.253709
55,83.253709
55,83.253709
55,84.767866
55,84.767866
55,84.767866
55,84.767866
55,84.707724
55,84.639498
55,84.639498
55,84.639498
55,81.65038
55,81.687466
55,81.687466
55,82.094684
55,82.094684
55,82.094684
55,82.094684
55,82.094684
55,82.094684
55,82.094684
55,82.133404
55,82.133404
55,82.133404
55,82.133404
55,82.133404
55,82.133404
55,82.133404
55,82.133404
55,82.133404
55,82.133404
55,82.133404
3,96.548395
55,80.953589
55,80.953589
55,80.953589
3,96.615905
3,96.615905
37,89.075829
36,89.304307
36,89.304307
39,89.085337
39,89.085337
39,89.085337
39,89.085337
39,89.085337
39,89.085337
39,89.085337
4,97.754454
41,88.954729
41,88.891521
41,88.891521
41,88.891521
41,88.891521
42,88.849432
45,88.734058
45,88.734058
45,88.734058
46,88.70283
3,96.970387
47,88.291279
50,87.907489
50,87.907489
50,87.907489
50,87.907489
50,87.907489
50,87.907489
50,87.907489
50,87.907489
50,87.907489
50,87.86878
50,87.86878
50,87.86878
50,87.86878
50,87.86878
50,87.86878
50,87.86878
50,87.86878
6,89.631285
51,84.924506
51,84.924506
51,84.924506
51,84.924506
51,84.924506
51,84.924506
51,84.924506
51,85.054477
51,85.054477
52,85.054477
51,85.054477
51,85.054477
51,85.054477
51,85.054477
51,85.054477
51,85.054477
51,85.054477
6,89.631285
8,93.925348
8,93.925348
9,93.925348
8,93.925348
7,93.925348
7,93.925348
7,93.925348
7,93.925348
7,93.925348
7,93.925348
8,93.925348
8,93.925348
10,93.925348
8,93.925348
8,93.925348
7,93.925348
9,93.925348
7,93.925348
7,93.925348
7,93.925348
7,93.925348
7,93.925348
8,93.876555
7,93.962356
8,93.962356
7,93.962356
7,93.962356
7,93.868371
7,93.868371
7,93.868371
7,93.868371
7,93.868371
8,93.800284
7,93.874172
7,93.874172
7,93.874172
7,93.874172
8,93.874172
8,93.874172
8,93.874172
8,93.874172
8,93.874172
9,93.874172
8,93.874172
10,93.826869
8,93.874172
8,93.874172
2,97.760041
12,94.165863
12,94.165863
12,94.165863
12,94.165863
12,94.165863
12,94.165863
14,94.117647
14,94.117647
14,94.093539
15,94.093539
14,94.093539
21,90.253411
21,90.253411
21,90.253411
21,90.253411
21,90.253411
21,90.253411
21,90.253411
21,90.253411
21,90.253411
21,90.253411
21,90.253411
21,90.253411
21,90.253411
21,90.253411
21,90.253411
1,97.970639
21,89.860217
21,89.860217
21,89.860217
21,89.860217
21,89.860217
22,89.83803
21,89.860217
23,89.860217
23,89.860217
23,89.860217
23,89.860217
23,89.860217
23,89.824873
23,89.824873
23,89.824873
23,89.824873
24,89.824873
23,89.824873
23,89.824873
24,89.600887
24,89.600887
24,89.600887
24,89.600887
27,89.553234
27,89.553234
28,89.553234
35,89.242054
35,89.242054
35,89.242054
