@relation 'FinalSampleData_test-weka.filters.unsupervised.attribute.Remove-R1-3,5-26,28'

@attribute LC numeric
@attribute a2a numeric

@data
12672,75.712423
12672,75.712423
10,100
0,100
13,100
0,100
8,100
22,100
9,100
6,100
0,100
3,100
205,99.843014
0,100
0,100
187,98.850575
10,100
0,100
0,100
43,100
0,100
0,100
3,100
0,100
0,100
62,99.918434
0,100
0,100
76,100
0,100
0,100
53,100
0,100
16,100
281,99.793483
0,100
0,100
3,100
0,100
0,100
10,100
8,100
133,100
3,100
0,100
174,98.940678
0,100
64,100
0,100
60,100
0,100
0,100
146,99.850299
228,98.065984
7,99.44645
0,100
0,100
62,100
0,100
345,99.608227
654,98.524649
0,100
2,100
0,100
0,99.852941
44,100
9,100
0,100
0,100
0,100
0,100
304,99.697885
102,100
18,100
0,100
37,100
0,100
0,100
170,100
0,100
119,100
0,100
0,100
0,100
20,100
0,100
0,100
0,100
0,100
0,100
2,100
0,100
0,100
0,100
378,99.943052
7,100
0,100
0,100
0,100
0,100
0,100
0,100
292,98.139256
0,100
0,100
19,100
107,100
0,100
0,100
0,100
0,100
16,100
0,100
63,100
0,100
0,100
5,100
1,100
109,99.915541
0,100
0,100
0,100
0,100
0,100
0,100
2138,98.664122
29,100
0,100
0,100
6,100
25,100
0,100
0,100
5,100
0,100
0,100
13,100
0,100
0,100
0,100
199,99.617737
9,100
1,100
0,100
0,100
0,100
0,100
0,100
100,100
0,100
159,99.728261
0,100
0,100
0,100
9,100
39,100
0,100
0,100
0,100
5,100
0,100
102,100
163,100
0,100
0,100
0,100
0,100
28,100
0,100
0,100
1,100
0,100
155,100
0,100
0,100
0,100
0,100
0,100
29,100
0,100
108,100
0,100
0,100
0,100
5,100
160,98.635123
0,100
26,100
0,100
0,100
15,100
4,100
0,100
0,100
51,100
19,100
1,100
3,100
0,100
6,100
0,100
2,99.947424
92,100
11,100
2,100
7,100
0,100
0,100
0,100
0,100
149,99.869622
5,100
2,100
0,100
0,100
0,100
0,100
0,100
0,100
48,98.991935
19,100
0,100
0,100
113,99.838319
0,100
0,100
0,100
4,100
0,100
1,100
17,100
0,100
0,100
0,100
0,100
12,100
0,100
505,98.375242
3,100
0,100
0,100
3,100
26,99.975586
0,100
0,100
19,100
0,100
1,100
0,100
0,100
16,100
0,100
8669,86.807611
8669,86.807611
8682,86.807611
8682,86.807611
8721,86.807611
8760,86.807611
8762,86.807611
8716,86.807611
8724,86.807611
8716,86.807611
8716,86.807611
8716,86.807611
8345,86.280358
7995,86.206897
7846,86.12766
7846,86.12766
7846,86.12766
7846,86.12766
7871,86.12766
7847,86.12766
7847,86.12766
7847,86.12766
7850,86.12766
7847,86.12766
8302,85.835454
7928,86.046512
7884,86.046512
7914,86.046512
7881,86.046512
416,91.555243
192,93.822526
3,97.388579
98,95.670996
8,97.435105
7,97.432905
0,88.80814
0,96.160558
0,38.875306
27,97.204659
0,68.274278
101,96.998828
28399,82.60208
28123,82.556962
28251,82.65692
28041,82.65692
28329,82.65692
27984,83.253709
28272,83.253709
27984,83.253709
28272,83.253709
27984,83.253709
28272,83.253709
29297,84.767866
29563,84.767866
29275,84.767866
29563,84.767866
28317,84.707724
28510,84.639498
28175,84.639498
28510,84.639498
28246,81.65038
28510,81.687466
28150,81.687466
28514,82.094684
28154,82.094684
28514,82.094684
28255,82.094684
28615,82.094684
28255,82.094684
28615,82.094684
28323,82.133404
28683,82.133404
28323,82.133404
28729,82.133404
28369,82.133404
28729,82.133404
28369,82.133404
28729,82.133404
28369,82.133404
28729,82.133404
28369,82.133404
123,96.548395
28852,80.953589
28492,80.953589
28854,80.953589
321,96.615905
321,96.615905
2726,89.075829
2445,89.304307
2445,89.304307
2651,89.085337
2651,89.085337
2651,89.085337
2651,89.085337
2651,89.085337
2651,89.085337
2651,89.085337
1914,97.754454
4565,88.954729
4990,88.891521
4971,88.891521
4972,88.891521
4971,88.891521
5152,88.849432
5506,88.734058
5507,88.734058
5506,88.734058
5617,88.70283
94,96.970387
5738,88.291279
6872,87.907489
6874,87.907489
6872,87.907489
6848,87.907489
6993,87.907489
6993,87.907489
6993,87.907489
6993,87.907489
6991,87.907489
7135,87.86878
7135,87.86878
7135,87.86878
7135,87.86878
7135,87.86878
7135,87.86878
7135,87.86878
7135,87.86878
1061,89.631285
8219,84.924506
8219,84.924506
8219,84.924506
8219,84.924506
8047,84.924506
8100,84.924506
8174,84.924506
7631,85.054477
7628,85.054477
7630,85.054477
7628,85.054477
7673,85.054477
7631,85.054477
7634,85.054477
7634,85.054477
7634,85.054477
7634,85.054477
1061,89.631285
906,93.925348
906,93.925348
975,93.925348
906,93.925348
898,93.925348
898,93.925348
898,93.925348
898,93.925348
898,93.925348
898,93.925348
901,93.925348
901,93.925348
946,93.925348
901,93.925348
900,93.925348
898,93.925348
940,93.925348
898,93.925348
898,93.925348
898,93.925348
898,93.925348
898,93.925348
905,93.876555
898,93.962356
901,93.962356
898,93.962356
898,93.962356
898,93.868371
918,93.868371
898,93.868371
898,93.868371
898,93.868371
1025,93.800284
898,93.874172
898,93.874172
898,93.874172
898,93.874172
881,93.874172
881,93.874172
881,93.874172
881,93.874172
881,93.874172
883,93.874172
881,93.874172
908,93.826869
881,93.874172
881,93.874172
71,97.760041
965,94.165863
965,94.165863
954,94.165863
959,94.165863
954,94.165863
954,94.165863
930,94.117647
933,94.117647
1138,94.093539
1138,94.093539
1138,94.093539
2482,90.253411
2482,90.253411
2485,90.253411
2485,90.253411
2488,90.253411
2488,90.253411
2488,90.253411
2488,90.253411
2488,90.253411
2488,90.253411
2488,90.253411
2488,90.253411
2488,90.253411
2488,90.253411
2488,90.253411
8,97.970639
2488,89.860217
2488,89.860217
2482,89.860217
2482,89.860217
2482,89.860217
2497,89.83803
2482,89.860217
2490,89.860217
2490,89.860217
2512,89.860217
2512,89.860217
2512,89.860217
2512,89.824873
2512,89.824873
2512,89.824873
2482,89.824873
2482,89.824873
2482,89.824873
2482,89.824873
2437,89.600887
2437,89.600887
2437,89.600887
2437,89.600887
2761,89.553234
2761,89.553234
2761,89.553234
2701,89.242054
2701,89.242054
2701,89.242054
