@relation 'FinalSampleData_test-weka.filters.unsupervised.attribute.Remove-R1-3,5-26,28'

@attribute LC numeric
@attribute a2a numeric

@data
3438,94.043528
3440,94.043528
3438,94.043528
3438,94.043528
3438,94.043528
3438,94.043528
3439,94.043528
3419,94.043528
3440,94.043528
3440,94.043528
3440,94.043528
3440,94.043528
3440,94.043528
3440,94.043528
3445,94.043528
3462,94.043528
3462,94.043528
3596,93.971767
3462,94.033549
3462,94.033549
30,96.496159
30,96.1395
6509,93.262012
6509,93.262012
6495,93.262012
6520,93.262012
7532,93.205706
6517,93.262012
6519,93.262012
6522,93.262012
6523,93.262012
6528,93.262012
6528,93.262012
6528,93.262012
6492,93.262012
6530,93.262012
6492,93.262012
6530,93.262012
6527,93.262012
6530,93.262012
6530,93.262012
6530,93.262012
6530,93.262012
6530,93.262012
6530,93.262012
7657,93.13192
8845,92.715356
8844,92.715356
7304,93.205706
8864,92.715356
1006,87.581815
141,87.723333
8972,92.70619
8972,92.70619
8972,92.70619
8972,92.70619
211,87.915194
246,87.915194
8972,92.70619
8977,92.70619
8972,92.70619
8972,92.70619
8972,92.70619
9218,80.329691
238,87.915194
8972,92.70619
9218,80.329691
241,87.915194
8972,92.70619
8977,92.70619
8972,92.70619
9210,80.267807
238,87.903512
8972,92.70619
9215,92.70619
56,87.903512
774,87.617694
9231,92.70619
9231,92.70619
9231,92.70619
9231,92.70619
289,87.808779
353,87.808779
9295,92.711643
8878,80.208722
254,85.980479
21,87.848641
122,87.687953
9239,92.711643
9361,80.582344
115,87.687953
9239,92.711643
9354,80.582344
115,87.687953
9300,92.711643
9185,80.582344
234,87.687953
9300,92.711643
9300,92.711643
9406,92.711643
9344,92.546236
709,87.466855
248,87.687953
249,87.687953
593,87.466855
251,87.705352
175,87.674378
10736,92.533134
10732,92.533134
10939,92.4986
10987,92.4986
10987,92.4986
11057,92.4986
10965,92.4986
11107,92.4986
10965,92.4986
10970,92.4986
10965,92.4986
11029,92.4986
10965,92.4986
10690,92.4986
10648,92.4986
10965,92.4986
10965,92.4986
10966,92.4986
10966,92.079955
10966,92.079955
10966,92.079955
10971,92.079955
10966,92.079955
11217,79.738073
222,87.649965
11245,92.478537
11367,92.478537
11392,92.079955
30404,92.203201
16504,92.043741
11079,92.079955
11079,92.079955
11079,92.079955
11079,92.079955
11112,92.079955
11112,92.079955
11114,92.079955
11119,92.079955
11365,79.738073
251,87.649965
251,87.649965
251,87.649965
251,87.649965
239,87.649965
251,87.649965
266,87.619048
11126,92.079955
11394,79.708248
792,86.935825
845,86.935825
837,86.935825
11156,91.784971
12018,79.109781
862,87.274336
862,87.274336
843,87.274336
11168,91.784971
12020,79.109781
859,87.274336
11168,91.784971
12052,79.109781
12051,79.109781
12051,79.109781
881,87.274336
881,86.419972
886,84.578612
886,84.578612
886,84.578612
886,84.578612
892,84.50779
893,84.50779
12041,75.687382
12050,75.687382
