@relation 'FinalSampleData_test-weka.filters.unsupervised.attribute.Remove-R1-9,11-26,28'

@attribute ' AGE' numeric
@attribute a2a numeric

@data
689,100
0,100
0,100
0,100
0,100
0,100
0,100
617,98.139256
445,100
0,100
467,100
272,100
0,100
0,100
0,100
0,100
1002,100
0,100
1695,100
0,100
0,100
182,100
173,100
155,99.915541
0,100
0,100
0,100
94,100
0,100
0,100
101,98.664122
548,100
0,100
77,100
819,100
84,100
387,100
0,100
132,100
0,100
0,100
902,100
0,100
0,100
0,100
12,99.617737
3,100
46,100
0,100
111,100
0,100
0,100
0,100
181,100
0,100
80,99.728261
0,100
0,100
0,100
1224,100
1331,100
0,100
3,100
0,100
640,100
0,100
60,100
66,100
0,100
0,100
274,100
0,100
3165,100
0,100
0,100
0,100
0,100
12,100
0,100
0,100
0,100
0,100
0,100
533,100
0,100
78,100
0,100
0,100
0,100
640,100
0,98.635123
0,100
199,100
23,100
0,100
1686,100
8,100
0,100
0,100
413,100
9,100
593,100
1488,100
1120,100
652,100
0,100
2021,99.947424
43,100
729,100
1612,100
0,100
0,100
530,100
0,100
0,100
438,99.869622
4069,100
0,100
0,100
0,100
0,100
0,100
0,100
0,100
298,98.991935
897,100
0,100
0,100
63,99.838319
0,100
0,100
0,100
513,100
0,100
20,100
233,100
0,100
0,100
0,100
0,100
63,100
0,100
458,98.375242
864,100
0,100
0,100
5,100
174,99.975586
506,100
2,100
799,100
0,100
347,100
0,100
0,100
58,100
0,100
743,86.807611
549,86.807611
746,86.807611
549,86.807611
747,86.807611
532,86.807611
745,86.807611
513,86.807611
736,86.807611
502,86.807611
736,86.807611
502,86.807611
764,86.280358
473,86.206897
755,86.12766
466,86.12766
755,86.12766
466,86.12766
771,86.12766
475,86.12766
762,86.12766
475,86.12766
758,86.12766
482,86.12766
744,85.835454
473,86.046512
746,86.046512
489,86.046512
746,86.046512
51,91.555243
1331,93.822526
52,97.388579
1963,95.670996
1299,97.435105
3800,97.432905
0,88.80814
0,96.160558
0,38.875306
38,97.204659
0,68.274278
146,96.998828
19,82.60208
262,82.556962
24,82.65692
262,82.65692
24,82.65692
262,83.253709
26,83.253709
262,83.253709
26,83.253709
262,83.253709
26,83.253709
262,84.767866
24,84.767866
262,84.767866
24,84.767866
262,84.707724
24,84.639498
261,84.639498
26,84.639498
261,81.65038
25,81.687466
261,81.687466
28,82.094684
