@relation 'FinalSampleData_test-weka.filters.unsupervised.attribute.Remove-R1-7,9-26,28'

@attribute NAD numeric
@attribute a2a numeric

@data
54,94.043528
70,94.043528
54,94.043528
70,94.043528
54,94.043528
70,94.043528
47,94.043528
71,94.043528
54,94.043528
71,94.043528
54,94.043528
71,94.043528
54,94.043528
71,94.043528
54,94.043528
71,94.043528
54,94.043528
73,93.971767
54,94.033549
71,94.033549
0,96.496159
0,96.1395
71,93.262012
95,93.262012
75,93.262012
95,93.262012
67,93.205706
95,93.262012
76,93.262012
95,93.262012
75,93.262012
95,93.262012
76,93.262012
95,93.262012
74,93.262012
95,93.262012
74,93.262012
95,93.262012
76,93.262012
95,93.262012
76,93.262012
95,93.262012
76,93.262012
95,93.262012
76,93.262012
96,93.13192
72,92.715356
99,92.715356
65,93.205706
99,92.715356
122,87.581815
123,87.723333
63,92.70619
100,92.70619
77,92.70619
100,92.70619
123,87.915194
120,87.915194
76,92.70619
100,92.70619
77,92.70619
100,92.70619
77,92.70619
282,80.329691
120,87.915194
76,92.70619
282,80.329691
120,87.915194
76,92.70619
100,92.70619
77,92.70619
282,80.267807
119,87.903512
76,92.70619
100,92.70619
122,87.903512
183,87.617694
69,92.70619
100,92.70619
77,92.70619
100,92.70619
234,87.808779
243,87.808779
74,92.711643
338,80.208722
234,85.980479
238,87.848641
235,87.687953
74,92.711643
338,80.582344
236,87.687953
77,92.711643
340,80.582344
238,87.687953
77,92.711643
339,80.582344
236,87.687953
77,92.711643
100,92.711643
75,92.711643
107,92.546236
234,87.466855
236,87.687953
238,87.687953
244,87.466855
238,87.705352
237,87.674378
69,92.533134
108,92.533134
73,92.4986
109,92.4986
79,92.4986
109,92.4986
79,92.4986
109,92.4986
79,92.4986
109,92.4986
79,92.4986
109,92.4986
79,92.4986
108,92.4986
78,92.4986
109,92.4986
79,92.4986
109,92.4986
78,92.079955
108,92.079955
78,92.079955
108,92.079955
78,92.079955
346,79.738073
236,87.649965
77,92.478537
108,92.478537
77,92.079955
109,92.203201
78,92.043741
108,92.079955
78,92.079955
108,92.079955
78,92.079955
108,92.079955
78,92.079955
108,92.079955
78,92.079955
346,79.738073
235,87.649965
238,87.649965
235,87.649965
238,87.649965
236,87.649965
238,87.649965
237,87.619048
76,92.079955
347,79.708248
245,86.935825
247,86.935825
245,86.935825
75,91.784971
354,79.109781
245,87.274336
247,87.274336
245,87.274336
76,91.784971
354,79.109781
242,87.274336
77,91.784971
353,79.109781
351,79.109781
384,79.109781
245,87.274336
260,86.419972
281,84.578612
302,84.578612
299,84.578612
302,84.578612
300,84.50779
305,84.50779
385,75.687382
443,75.687382
