,ACDC,,,FCA
commit167--commit168,97.62333333,99.47916667,88.38,100
commit168--commit169,95.40666667,98.99305556,88.38,100
commit169--commit170,96.35333333,99.20138889,88.38,100
commit170--commit171,96.82666667,99.30555556,88.38,100
commit171--commit172,96.81666667,99.30555556,88.03,99.9222395
commit172--commit173,96.51,99.23611111,88.38,100
commit173--commit174,99.20666667,99.82638889,88.38,100
commit174--commit175,93.49333333,98.57638889,88.38,100
commit175--commit176,96.18333333,99.16666667,88.38,100
commit176--commit177,93.15666667,98.50694444,88.38,100
commit177--commit178,95.71,99.0625,88.38,100
commit178--commit179,94.28666667,98.75,88.38,100
commit179--commit180,95.08333333,98.92361111,88.38,100
commit180--commit181,94.61666667,98.81944444,88.38,100
