CommitID,NMF,TotalAddLines,TotalDeleteLines,LC,FileAdd,FileDelete,NAD,NDVE,NUC,AGE,NMS,NMD,Entropy ,MLMF,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NFC,NIR,a2a
b2fd85fa8a4a187f319b2506b764aede8d1a254f,1,1,0,1,0,0,0,2,3,521,1,1,0,177,974,0,11,11,0,772,763,9,3,3,0,1,100
8cdb461fdf481f9ea3c9c81fe4d9fb3538cbbb45,1,4,1,3,0,0,0,2,4,0,1,1,0,178,975,1,12,11,1,790,772,18,3,3,0,1,100
d7e4dc09eb15c5dcc9eccd9aee4b07599be176ac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1178,9,0,0,0,0,0,0,0,0,0,1,100
618bbf4f0ebbef6671fb983571155cd163061555,60,92,31,61,0,0,0,2,33,312,1,9,5.706810416,9442,76,3,937,937,0,34323,34323,0,436,436,0,0,100
62a4bb86ce8d9a4d84429ad0c69cde9104ff8732,7,28,30,2,0,0,0,2,378,176,1,5,2.531165399,1755,77,4,153,153,0,8498,8525,27,53,53,0,0,99.50274797
2225bc7bbe9f79eb8608cc0f83e59585b9513654,7,299,232,67,2,2,4,5,18,117,2,2,2.253460574,881,1179,6,74,69,5,3604,3509,95,38,36,2,1,99.39648386
19dec1eff690aa152832b57244ebe436ba82d14b,1,5,1,4,0,0,0,3,19,163,1,1,0,695,1180,7,105,104,1,3075,3059,16,19,19,0,1,100
54be6250480f8b7d75d250bbf5303662d4898156,1,11,0,11,0,0,0,3,12,8,1,1,0,339,1181,7,51,48,3,1664,1609,55,8,7,1,1,100
f022e66b2a5ee3a36abf80ec9e1dfe4b99b58368,1,11,0,11,0,0,0,3,13,8,1,1,0,282,1182,8,40,37,3,1364,1309,55,9,8,1,1,100
4b047098285ef3269033b9a32027089d3190c807,2,23,9,14,0,0,0,8,104,164,1,1,0.811278124,2642,1183,9,389,386,3,11100,11021,79,187,187,0,1,100
bfaf11090a212f8445f2ad929af8acce5a984bf0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1184,7,0,0,0,0,0,0,0,0,0,1,100
44c35b0510113ebafa6dd42a7f204e724229d1d5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1185,7,0,0,0,0,0,0,0,0,0,1,100
c85a6a4ec2076fb24f28d81ea0787564c434d15f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1186,8,0,0,0,0,0,0,0,0,0,1,100
