,ACDC,,,FCA,,
index,MOJOFM,A2A,MOJOFM,A2A
commit69--commit70,99.31,95.9479015918958,89.85,95.338512763596
commit70--commit71,97.26,95.51374819102749,91.21,95.338512763596
commit71--commit72,94.52,98.79518072289156,93.37,100.0
commit72--commit73,92.47,98.3433734939759,93.37,100.0
commit73--commit74,97.28,99.3975903614458,93.37,100.0
commit74--commit75,95.92,99.09638554216868,93.37,100.0
commit75--commit76,91.78,98.19277108433735,93.37,100.0
commit76--commit77,96.6,99.24698795180723,93.37,100.0
commit77--commit78,97.96,99.54819277108435,93.37,100.0
commit78--commit79,97.26,99.3975903614458,93.37,100.0
commit79--commit80,100.0,100.0,93.37,100.0
commit80--commit81,98.63,99.69879518072288,93.37,100.0
commit81--commit82,97.28,99.3975903614458,93.37,100.0
commit82--commit83,97.26,99.3975903614458,93.37,100.0
commit83--commit84,99.32,99.84939759036145,93.37,100.0
commit84--commit85,97.96,99.54819277108435,93.37,100.0
commit85--commit86,97.95,99.54819277108435,93.37,100.0
commit86--commit87,100.0,96.09261939218524,89.85,95.338512763596
commit87--commit88,93.88,94.79015918958031,91.21,95.338512763596
commit88--commit89,95.21,98.94578313253012,93.37,100.0
commit89--commit90,95.17,95.07959479015919,89.85,95.338512763596
commit90--commit91,94.52,94.93487698986975,91.21,95.338512763596
commit91--commit92,98.63,99.69879518072288,93.37,100.0
commit92--commit93,91.1,94.21128798842258,89.85,95.338512763596
commit93--commit94,93.2,94.64544138929088,91.21,95.338512763596
commit94--commit95,65.12,50.752688172043015,24.16,58.81826320501342
commit95--commit96,28.8,50.86021505376343,38.62,58.81826320501342
commit96--commit97,97.26,99.3975903614458,93.37,100.0
commit97--commit98,99.32,99.84939759036145,93.37,100.0
commit98--commit99,97.95,95.65846599131693,89.85,95.338512763596
commit99--commit100,94.3,98.74651810584957,93.53,100.0
commit100--commit101,95.24,95.07959479015919,91.21,95.338512763596
commit101--commit102,95.89,95.22431259044862,89.85,95.338512763596
commit102--commit103,91.77,98.18941504178274,93.53,100.0
commit103--commit104,94.97,98.88579387186628,93.53,100.0
commit104--commit105,95.6,99.025069637883,93.53,100.0
commit105--commit106,98.1,99.58217270194986,93.53,100.0
commit106--commit107,91.08,93.74167776298269,69.09,88.83034773445732
commit107--commit108,93.02,98.21882951653944,76.5,97.97979797979798
commit108--commit109,94.83,98.22335025380711,83.56,100.0
commit109--commit110,94.19,97.96954314720813,83.49,99.59758551307847
commit110--commit111,98.84,99.74619289340102,83.56,100.0
commit111--commit112,88.44,97.46192893401016,83.56,100.0
commit112--commit113,91.33,97.47474747474747,72.85,88.58921161825725
commit113--commit114,94.77,97.8643216080402,94.09,99.14346895074947
commit114--commit115,92.0,97.99498746867168,91.71,99.2497320471597
commit115--commit116,91.48,98.125,94.12,100.0
commit116--commit117,89.2,97.625,94.12,100.0
commit117--commit118,91.53,96.5389369592089,74.88,96.82386910490857
commit118--commit119,91.67,98.16625916870416,76.56,100.0
commit119--commit120,91.67,98.16625916870416,76.56,100.0
commit120--commit121,96.67,99.26650366748166,76.56,100.0
commit121--commit122,94.48,98.0440097799511,74.51,99.21397379912665
commit122--commit123,93.37,98.53300733496333,74.61,99.21397379912665
commit123--commit124,80.68,92.34449760765551,86.36,89.93288590604027
commit124--commit125,98.4,99.64871194379391,95.59,100.0
commit125--commit126,91.94,97.67171129220024,93.33,97.23991507430998
commit126--commit127,90.48,97.33796296296296,92.16,100.0
commit127--commit128,93.12,98.49537037037037,92.16,100.0
commit128--commit129,92.06,98.26388888888889,92.16,100.0
commit129--commit130,90.48,97.91666666666666,92.16,100.0
commit130--commit131,95.77,99.07407407407408,92.16,100.0
commit131--commit132,96.3,99.18981481481481,92.16,100.0
commit132--commit133,92.59,95.39842873176207,80.1,94.5945945945946
commit133--commit134,90.5,97.38562091503267,86.03,100.0
commit134--commit135,82.5,95.7700650759219,82.53,93.9077458659704
commit135--commit136,87.62,96.43628509719223,88.0,100.0
commit136--commit137,90.64,97.30893433799784,86.55,99.12905779889152
commit137--commit138,90.69,97.74678111587983,85.92,100.0
commit138--commit139,94.15,97.97008547008546,78.17,98.96988906497623
commit139--commit140,88.78,97.5531914893617,82.48,100.0
commit140--commit141,88.89,97.44680851063829,82.48,100.0
commit141--commit142,99.03,99.7872340425532,82.48,100.0
commit142--commit143,93.24,98.51063829787235,82.48,100.0
commit143--commit144,90.82,97.97872340425532,82.48,100.0
commit144--commit145,98.06,99.57446808510639,82.48,100.0
commit145--commit146,90.29,97.87234042553192,82.48,100.0
commit146--commit147,97.57,99.46808510638297,82.48,100.0
commit147--commit148,86.83,96.20653319283457,82.48,98.0127186009539
commit148--commit149,99.04,99.79123173277662,88.3,100.0
commit149--commit150,95.73,98.32810867293625,88.3,100.0
commit150--commit151,100.0,100.0,88.3,100.0
commit151--commit152,95.22,98.9539748953975,88.3,100.0
commit152--commit153,96.67,99.26778242677824,88.3,100.0
commit153--commit154,91.0,98.01255230125523,88.3,100.0
commit154--commit155,92.42,98.32635983263597,88.3,100.0
commit155--commit156,96.67,99.26778242677824,88.3,100.0
commit156--commit157,95.71,99.05857740585773,88.3,99.84326018808778
commit157--commit158,94.74,98.84937238493724,87.63,99.76544175136826
commit158--commit159,95.22,98.9539748953975,88.34,100.0
commit159--commit160,93.33,98.5355648535565,88.34,100.0
commit160--commit161,97.62,99.47698744769875,88.34,100.0
commit161--commit162,96.19,99.16317991631799,88.34,100.0
commit162--commit163,91.39,98.11715481171548,88.34,100.0
commit163--commit164,94.74,98.84937238493724,88.34,100.0
commit164--commit165,97.62,99.47698744769875,88.34,100.0
commit165--commit166,93.78,98.43423799582463,87.99,99.68823070927513
commit166--commit167,93.84,98.64583333333333,88.38,100.0
commit167--commit168,97.63,99.47916666666666,88.38,100.0
commit168--commit169,96.19,99.16666666666667,88.38,100.0
commit169--commit170,97.62,99.47916666666666,88.38,100.0
commit170--commit171,98.57,99.6875,88.38,100.0
commit171--commit172,93.78,98.64583333333333,88.03,99.92223950233281
commit172--commit173,95.71,99.0625,88.38,100.0
commit173--commit174,100.0,100.0,88.38,100.0
commit174--commit175,97.62,99.47916666666666,88.38,100.0
commit175--commit176,96.17,99.16666666666667,88.38,100.0
commit176--commit177,96.67,99.27083333333333,88.38,100.0
commit177--commit178,95.22,98.95833333333334,88.38,100.0
commit178--commit179,97.62,99.47916666666666,88.38,100.0
commit179--commit180,96.65,99.27083333333333,88.38,100.0
commit180--commit181,91.47,98.125,88.38,100.0
