NMF,TotalAddLines,TotalDeleteLines,LC,FileAdd,FileDelete,NAD,NDVE,NUC,AGE,NMS,NMD,Entropy ,MLMF,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NFC,NIR,a2a,Tag
2,20,8,12,0,0,0,4,245,1093,1,2,0.811278124,2149,5106,24,268,268,0,10089,10072,17,64,64,0,1,100,NoArch
1,1,1,0,0,0,0,2,11,0,1,1,0,271,1977,30,14,14,0,1358,1358,0,4,4,0,2,100,NoArch
1,18,3,15,0,0,0,4,12,840,1,1,0,617,586,3,77,72,5,3270,3195,75,26,26,0,1,100,NoArch
1,2,2,0,0,0,0,4,31,304,1,1,0,348,2115,37,45,45,0,1303,1303,0,21,21,0,1,100,NoArch
1,17,7,10,0,0,0,6,22,125,1,1,0,179,1885,64,16,15,1,740,723,17,2,2,0,1,100,NoArch
1,1,1,0,0,0,0,6,14,252,1,1,0,655,1692,17,77,77,0,2102,2102,0,38,38,0,1,100,NoArch
1,92,2,90,0,0,0,3,10,156,1,1,0,1392,599,2,141,118,23,5079,4779,300,67,67,0,1,100,NoArch
1,16,7,9,0,0,0,2,3,1449,1,1,0,232,403,14,33,33,0,851,839,12,8,8,0,1,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1193,1,0,0,0,0,0,0,0,0,0,0,100,NoArch
1,276,320,44,0,0,0,3,9,42,1,1,0,2055,314,31,239,239,0,5299,5299,0,106,106,0,1,100,NoArch
1,9,1,8,0,0,0,2,7,898,1,1,0,214,2173,16,28,27,1,925,906,19,12,12,0,1,100,NoArch
1,1,1,0,0,0,0,6,84,51,1,1,0,561,2112,34,78,78,0,2506,2506,0,23,23,0,1,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1892,68,0,0,0,0,0,0,0,0,0,1,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,864,5,0,0,0,0,0,0,0,0,0,0,100,NoArch
1,12,17,5,0,0,0,2,4,152,1,1,0,401,512,6,34,38,4,1249,1305,56,17,17,0,1,100,NoArch
1,3,3,0,0,0,0,1,2,146,1,1,0,225,45,1,21,21,0,1303,1303,0,7,7,0,1,100,NoArch
1,2,4,2,0,0,0,3,14,1705,1,1,0,168,5041,49,14,14,0,515,520,5,9,9,0,1,100,NoArch
3,152,97,55,0,0,0,2,3,2188,1,2,1.316407194,378,519,13,42,33,9,1198,896,302,16,16,0,1,100,NoArch
1,19,2,17,0,0,0,3,7,683,1,1,0,379,2053,14,30,29,1,2394,2190,204,12,11,1,1,99.98317065,NoArch
10,330,0,330,10,0,10,1,1,0,1,1,3.321928095,0,23,0,10,0,10,620,0,620,10,0,10,1,99.58393343,NoArch
1,1,1,0,0,0,0,5,19,108,1,1,0,691,1932,49,91,91,0,3138,3137,1,19,19,0,1,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,534,28,0,0,0,0,0,0,0,0,0,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1892,68,0,0,0,0,0,0,0,0,0,1,100,NoArch
1,8,3,5,0,0,0,4,13,201,1,1,0,271,1283,1,31,30,1,1040,1013,27,8,8,0,1,100,NoArch
1,0,2,2,0,0,0,8,141,2,1,1,0,1354,2027,35,133,133,0,4111,4137,26,64,64,0,1,100,NoArch
1,59,0,59,0,0,0,3,49,10,1,1,0,916,5211,24,73,69,4,5649,5312,337,31,28,3,1,100,NoArch
1,1,3,2,0,0,0,4,30,55,1,1,0,350,1869,64,45,45,0,1303,1293,10,21,21,0,1,100,NoArch
1,3,3,0,0,0,0,5,11,1717,1,1,0,226,4966,12,20,20,0,608,623,15,12,12,0,1,100,NoArch
3,23,23,0,0,0,0,3,13,123,1,1,1.066615217,651,5178,54,64,64,0,3274,3228,46,16,16,0,1,100,NoArch
1,1,1,0,0,0,0,4,17,360,1,1,0,354,1808,30,38,38,0,1119,1119,0,21,21,0,1,100,NoArch
1,1,1,0,0,0,0,2,5,50,1,1,0,65,1732,53,3,3,0,233,231,2,2,2,0,1,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,3,0,0,0,0,0,0,0,0,0,1,100,NoArch
4,374,260,114,0,0,0,2,17,529,1,4,1.373173292,2697,473,1,254,233,21,9679,9626,53,129,124,5,1,99.93204983,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,394,5,0,0,0,0,0,0,0,0,0,1,100,NoArch
1,1,1,0,0,0,0,3,23,6,1,1,0,278,1831,33,20,20,0,1123,1129,6,9,9,0,1,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1873,68,0,0,0,0,0,0,0,0,0,1,100,NoArch
1,2,0,2,0,0,0,3,21,32,1,1,0,741,1955,22,98,98,0,3646,3612,34,28,28,0,1,100,NoArch
1,10,8,2,0,0,0,2,11,0,1,1,0,230,1718,39,26,26,0,968,968,0,10,10,0,1,100,NoArch
1,25,25,0,0,0,0,6,94,6,1,1,0,694,1609,8,98,101,3,2667,2676,9,28,28,0,1,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1918,60,0,0,0,0,0,0,0,0,0,1,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,21,0,0,0,0,0,0,0,0,0,0,100,NoArch
1,8,4,4,0,0,0,5,105,0,1,1,0,1600,5161,41,219,220,1,6828,6827,1,46,46,0,1,100,NoArch
1,1,1,0,0,0,0,2,6,0,1,1,0,184,5166,46,14,14,0,551,551,0,6,6,0,1,100,NoArch
2,3,3,0,0,0,0,1,56,1092,1,1,0.918295834,1026,4942,6,82,82,0,4274,4271,3,24,24,0,1,100,NoArch
1,4,2,2,0,0,0,2,6,485,1,1,0,235,5207,20,32,31,1,1165,1157,8,7,7,0,1,100,NoArch
1,12,0,12,0,0,0,5,32,173,1,1,0,1542,481,9,30,30,0,4394,4358,36,11,11,0,1,100,NoArch
1,2,5,3,0,0,0,5,17,444,1,1,0,1612,572,4,265,265,0,5464,5471,7,30,30,0,1,100,NoArch
1,6,6,0,0,0,0,2,2,686,1,1,0,226,1841,43,27,27,0,831,833,2,8,8,0,1,100,NoArch
1,4,2,2,0,0,0,7,74,79,1,1,0,573,1970,31,61,60,1,1769,1755,14,25,25,0,1,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2048,11,0,0,0,0,0,0,0,0,0,1,100,NoArch
1,161,149,12,0,0,0,2,2,1874,1,1,0,188,305,24,2,1,1,986,1076,90,1,1,0,1,100,NoArch
1,4,0,4,0,0,0,3,24,5,1,1,0,754,5067,62,123,122,1,3211,3192,19,22,22,0,1,100,NoArch
1,16,0,16,0,0,0,4,113,36,1,1,0,1146,2029,37,136,132,4,5453,5401,52,46,46,0,1,100,NoArch
1,3,2,1,0,0,0,4,12,0,1,1,0,344,491,3,54,54,0,1662,1662,0,4,4,0,1,100,NoArch
1,2,2,0,0,0,0,7,27,88,1,1,0,574,1652,23,69,69,0,1862,1862,0,42,42,0,1,100,NoArch
1,6,1,5,0,0,0,2,5,14,1,1,0,230,4915,29,31,30,1,1157,1139,18,7,7,0,1,100,NoArch
2,8,0,8,0,0,0,3,8,1889,1,1,1,109,5219,28,8,6,2,442,418,24,4,4,0,1,100,NoArch
1,4,4,0,0,0,0,7,54,0,1,1,0,884,1810,24,118,118,0,3848,3848,0,26,26,0,1,100,NoArch
1,9,0,9,0,0,0,4,20,506,1,1,0,378,2050,13,28,28,0,2620,2585,35,9,9,0,1,100,NoArch
1,8,7,1,0,0,0,3,7,54,1,1,0,354,410,1,53,53,0,1663,1652,11,3,3,0,1,100,NoArch
1,2,0,2,0,0,0,2,5,823,1,1,0,258,602,5,33,33,0,957,949,8,5,5,0,1,100,NoArch
1,12,17,5,0,0,0,2,4,152,1,1,0,401,512,6,34,38,4,1249,1305,56,17,17,0,1,100,NoArch
1,0,108,108,0,1,1,5,27,471,1,1,0,108,1175,7,0,3,3,0,538,538,0,3,3,1,99.32873392,NoArch
19,158,97,61,0,0,0,1,3,64,1,10,3.246136325,4673,38,1,648,639,9,20650,20276,374,199,194,5,1,99.90362994,NoArch
1,70,30,40,0,0,0,4,23,230,1,1,0,442,511,5,45,39,6,2224,1767,457,7,5,2,1,100,NoArch
1,19,18,1,0,0,0,8,139,0,1,1,0,1372,2015,30,133,133,0,4249,4260,11,64,64,0,1,100,NoArch
3,39,39,0,0,0,0,3,31,534,1,3,0.67697596,2483,460,5,118,118,0,7181,7173,8,57,57,0,1,100,NoArch
1,1,17,16,0,0,0,4,159,5,1,1,0,2968,5199,28,441,444,3,11228,11312,84,61,61,0,1,100,NoArch
4,8,6,2,0,0,0,2,26,0,1,1,1.924174352,924,5079,55,94,94,0,4366,4385,19,29,29,0,1,100,NoArch
1,32,15,17,0,0,0,1,2,591,1,1,0,121,625,18,13,10,3,549,464,85,4,3,1,1,100,NoArch
1,5,8,3,0,0,0,4,18,3,1,1,0,434,446,14,39,39,0,1754,1795,41,5,5,0,1,99.19753086,NoArch
1,3,3,0,0,0,0,7,27,1154,1,1,0,579,4969,15,67,68,1,1338,1345,7,40,40,0,1,100,NoArch
1,13,13,0,0,0,0,2,2,2181,1,1,0,325,494,5,32,32,0,1137,1107,30,15,15,0,1,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,436,6,0,0,0,0,0,0,0,0,0,1,100,NoArch
1,89,4,85,0,0,0,4,12,200,1,1,0,258,1667,17,47,36,11,1556,1119,437,11,9,2,1,100,NoArch
15,0,1917,1917,0,14,14,2,2,1155,1,1,3.753163567,1916,57,18,0,220,220,0,7223,7223,0,46,46,1,99.2481203,NoArch
5,12,7,5,0,0,0,4,17,828,1,1,2.21260991,710,2121,43,38,38,0,3208,3129,79,18,18,0,1,100,NoArch
1,15,3,12,0,0,0,2,4,834,1,1,0,103,705,1,0,0,0,129,127,2,0,0,0,1,100,NoArch
1,1,1,0,0,0,0,5,50,0,1,1,0,1494,2040,24,213,213,0,6931,6930,1,78,78,0,1,100,NoArch
1,5,4,1,0,0,0,3,20,0,1,1,0,549,565,5,72,71,1,1947,1942,5,16,16,0,1,100,NoArch
3,11,36,25,0,0,0,5,48,78,1,1,1.483012313,2019,1244,25,302,302,0,9183,9354,171,91,91,0,1,100,NoArch
1,1,1,0,0,0,0,2,2,3,1,1,0,257,1615,45,32,32,0,470,469,1,16,16,0,1,100,NoArch
1,40,35,5,0,0,0,8,29,15,1,1,0,579,5039,48,60,59,1,1827,1773,54,31,31,0,1,100,NoArch
2,263,0,263,1,0,1,1,3,139,1,1,0.576014781,201,4,0,51,22,29,1353,507,846,24,12,12,1,99.89281886,NoArch
1,1,1,0,0,0,0,3,6,526,1,1,0,271,2099,21,21,21,0,1332,1332,0,7,7,0,1,100,NoArch
1,17,3,14,0,0,0,2,5,823,1,1,0,50,1814,28,5,2,3,239,166,73,2,2,0,1,100,NoArch
1,0,1,1,0,0,0,2,7,2,1,1,0,2055,1617,42,239,239,0,5300,5313,13,106,106,0,1,100,NoArch
1,24,6,18,0,0,0,7,52,233,1,1,0,860,1807,30,118,118,0,3827,3834,7,26,26,0,1,100,NoArch
1,8,0,8,0,0,0,6,10,5,1,1,0,304,1622,43,39,38,1,1606,1573,33,6,6,0,1,100,NoArch
5,18,6,12,0,0,0,3,206,975,2,5,1.830557653,3602,4919,28,353,353,0,14187,14187,0,108,108,0,1,100,NoArch
3,4,4,0,0,0,0,5,24,207,1,1,1.5,1153,2006,28,88,88,0,3939,3939,0,88,88,0,1,100,NoArch
1,16,20,4,0,0,0,1,7,414,1,1,0,214,5189,43,11,12,1,1438,1480,42,4,4,0,1,100,NoArch
4,33,22,11,0,0,0,2,26,282,1,1,1.466450427,1924,493,4,218,216,2,6248,6190,58,82,82,0,1,100,NoArch
2,2,2,0,0,0,0,2,20,308,1,2,1,804,1708,29,98,98,0,3109,3109,0,36,36,0,1,100,NoArch
3,152,97,55,0,0,0,2,3,2188,1,2,1.316407194,378,519,13,42,33,9,1198,896,302,16,16,0,1,100,NoArch
1,2,2,0,0,0,0,3,29,309,1,1,0,1099,5057,54,135,135,0,5768,5776,8,33,33,0,1,100,NoArch
1,8,1,7,0,0,0,5,20,9,1,1,0,994,2032,35,127,126,1,3431,3407,24,53,53,0,1,100,NoArch
1,3,0,3,0,0,0,3,8,345,1,1,0,130,1649,34,11,11,0,416,416,0,4,4,0,1,100,NoArch
2,33,4,29,0,0,0,7,55,68,1,2,0.84185219,780,1880,71,103,99,4,2485,2395,90,45,44,1,1,99.85634477,NoArch
1,9,14,5,0,0,0,1,2,7001,1,1,0,169,5157,37,14,15,1,528,551,23,8,8,0,1,100,NoArch
1,3,1,2,0,0,0,3,22,63,1,1,0,531,583,4,65,65,0,2976,2972,4,16,16,0,1,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,5,0,0,0,0,0,0,0,0,0,1,100,NoArch
1,121,0,121,1,0,1,1,1,0,1,1,0,0,557,4,10,0,10,464,0,464,3,0,3,1,99.77140482,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1986,36,0,0,0,0,0,0,0,0,0,1,100,NoArch
1,0,12,12,0,0,0,4,102,2,1,1,0,990,1640,35,105,107,2,4406,4448,42,43,45,2,1,100,NoArch
1,1,1,0,0,0,0,5,22,493,1,1,0,371,4916,25,37,36,1,977,969,8,17,17,0,1,100,NoArch
1,1,0,1,0,0,0,4,14,177,1,1,0,567,30,1,48,48,0,2169,2169,0,26,26,0,0,100,NoArch
3,7,3,4,0,0,0,6,12,540,1,1,1.521928095,880,2023,34,73,73,0,2196,2188,8,50,50,0,1,100,NoArch
1,2,2,0,0,0,0,3,13,50,1,1,0,232,5212,23,25,25,0,709,707,2,10,10,0,1,100,NoArch
1,1,1,0,0,0,0,3,16,2,1,1,0,2220,2122,44,246,246,0,6278,6278,0,111,111,0,1,100,NoArch
1,0,1,1,0,0,0,3,7,0,1,1,0,178,1785,67,13,13,0,720,727,7,6,6,0,1,100,NoArch
2,20,6,14,0,0,0,1,4,1153,1,2,0.619382195,185,486,8,12,11,1,519,483,36,2,2,0,1,100,NoArch
1,242,230,12,0,0,0,4,4,593,1,1,0,277,309,28,3,2,1,1498,2808,1310,3,2,1,1,100,NoArch
1,5,0,5,0,0,0,6,31,15,1,1,0,231,1612,2,32,31,1,1053,1032,21,9,9,0,1,100,NoArch
1,8,2,6,0,0,0,3,9,252,1,1,0,651,1172,6,98,97,1,2574,2510,64,24,24,0,1,100,NoArch
1,14,19,5,0,0,0,5,11,5,1,1,0,713,32,1,81,81,0,2138,2114,24,34,34,0,1,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,395,6,0,0,0,0,0,0,0,0,0,1,100,NoArch
1,5,5,0,0,0,0,3,59,437,1,1,0,1526,5054,51,185,185,0,7299,7298,1,50,50,0,1,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1639,2,0,0,0,0,0,0,0,0,0,0,100,NoArch
1,1,1,0,0,0,0,10,117,584,1,1,0,1376,5088,25,244,243,1,4766,4762,4,42,42,0,1,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2140,55,0,0,0,0,0,0,0,0,0,1,100,NoArch
1,1,1,0,0,0,0,1,1,0,1,1,0,66,336,11,3,3,0,196,194,2,2,2,0,1,99.93622449,NoArch
1,1,1,0,0,0,0,2,16,783,1,1,0,713,420,6,56,56,0,2360,2360,0,34,34,0,1,100,NoArch
1,2,2,0,0,0,0,4,156,20,1,1,0,2962,1625,6,443,443,0,11254,11250,4,61,61,0,1,100,NoArch
1,310,263,47,0,0,0,2,6,195,1,1,0,1247,607,5,170,169,1,6772,6753,19,61,61,0,1,100,NoArch
