@relation 'SampleData-weka.filters.unsupervised.attribute.Remove-R1-6,9-10,12-13,15-16,18-19,22'

@attribute JavaFileNum numeric
@attribute TotalChangedLines numeric
@attribute FileChangedNum numeric
@attribute changedComplexity numeric
@attribute changedToken numeric
@attribute ChangedMethodNum numeric
@attribute A2A numeric

@data
4,51,0,11,303,4,93.776824
24,378,14,60,289,32,93.466425
61,66,0,0,6,0,92.901879
15,24,4,2,135,3,97.593583
12,641,6,56,2544,38,96.401028
6,229,3,21,1116,17,93.995381
2,350,2,74,2409,23,96.746204
97,2508,33,303,10953,159,79.764706
12,221,4,14,808,11,94.933921
25,222,2,48,1145,20,94.904459
3,29,2,3,189,2,96.577947
3,39,1,3,146,0,77.59434
3,41,1,2,75,2,76.049383
52,831,13,105,3659,60,91.097308
13,1089,13,104,5198,64,95.671476
17,1134,13,105,5323,65,95.671476
20,1165,13,110,5516,67,95.338513
42,1384,13,173,6639,90,95.338513
42,1384,13,173,6639,90,95.338513
42,1384,13,173,6639,90,95.338513
42,1384,13,173,6639,90,95.338513
42,1384,13,173,6639,90,95.338513
39,1352,13,172,6555,89,95.338513
38,1355,13,172,6576,89,95.338513
38,1355,13,172,6576,89,95.338513
36,1340,13,170,6494,88,95.338513
36,1340,13,170,6494,88,95.338513
36,1340,13,170,6494,88,95.338513
36,1340,13,170,6494,88,95.338513
36,1340,13,170,6494,88,95.338513
36,1340,13,170,6494,88,95.338513
36,1340,13,170,6494,88,95.338513
36,1340,13,170,6494,88,95.338513
36,1340,13,170,6494,88,95.338513
36,1340,13,170,6494,88,95.338513
36,1340,13,170,6494,88,95.338513
36,1340,13,170,6494,88,95.338513
36,1340,13,170,6494,88,95.338513
158,24136,158,3246,118102,1575,58.818263
158,24136,158,3246,118102,1575,58.818263
36,1340,13,170,6494,88,95.338513
36,1340,13,170,6494,88,95.338513
36,1340,13,170,6494,88,95.338513
29,1566,15,187,7646,101,88.830348
3,140,1,14,782,12,97.979798
4,237,2,18,1149,7,88.589212
4,635,4,59,3086,43,96.823869
29,761,10,107,4689,92,89.932886
5,385,2,28,2182,13,97.239915
14,2354,13,184,12072,73,94.594595
27,40,1,9,82,4,93.907746
5,727,4,115,3983,60,93.754819
9,499,5,40,2749,28,86.893555
44,6208,44,402,26712,268,88.841722
2,63,1,6,258,5,96.83985
2,59,0,10,374,6,91.959799
15,1547,7,270,8332,160,93.913779
3,17,0,2,133,2,96.100583
17,626,7,58,2650,30,93.253373
23,271,0,32,1479,21,93.151815
13,384,2,61,2466,46,88.982786
2,103,1,17,483,4,95.591126
11,420,1,37,2229,5,88.858035
1,17,0,1,112,1,90.534145
23,4138,23,382,20842,168,95.344877
