CommitID,FileName,FromFile,ToFile,FileDeps,FilesDeps,CommitDeps
,ReflectDatumWriter.java,5,5,10,,
,ReflectRequestor.java,12,3,15,,
,ReflectResponder.java,14,3,17,,
,SpecificCompiler.java,2,2,4,,
,SpecificData.java,0,0,0,,
,SpecificExceptionBase.java,4,0,4,,
,SpecificRecord.java,1,4,5,,
,SpecificRecordBase.java,2,1,3,,
,SpecificRequestor.java,9,2,11,,
,Utf8.java,0,28,28,,
,RandomData.java,7,3,10,,
,TestCompare.java,9,0,9,,
,TestDataFileReflect.java,9,0,9,,
,TestReflect.java,9,0,9,,
,TestSchema.java,15,0,15,,
c454652c1cd491976b894dc293856c8f73495725,/,0,0,0,0,450
b43975aa1e773cd471f5771d7c7faac7a0f73a7c,Schema.java,17,46,63,106,2245
,GenericData.java,9,10,19,,
,BinaryData.java,2,3,5,,
,SpecificData.java,5,3,8,,
,TestCompare.java,11,0,11,,
7d83e93e0d50487125d747265d2aa325cdce029d,/,0,0,0,0,453
604f27bc286f17bb8b43c25c1aa3302882c80395,ParsingEncoder.java,2,2,4,7,904
,TestResolvingIO_resolving.java,3,0,3,,
d8d90987da6300e3c0a8741dfedc8109fee49da2,/,0,0,0,0,453
14c0ae1564cd6a067abb735c3b4f09ddf200910a,/,0,0,0,0,453
1dbb683d17f571213a8367d8e1306019063325d3,/,0,0,0,0,453
e6994922462bdae76cceebdd19515a76f15497bf,/,0,0,0,0,453
12b51f98003fb0af5966eb6710a8270d69dd7ee3,/,0,0,0,0,453
116a973813541d4f6ca000ae27090074871e714e,AvroRuntimeException.java,0,17,17,1117,43844
,AvroTypeException.java,1,14,15,,
,Protocol.java,3,12,15,,
,Schema.java,17,46,63,,
,SchemaParseException.java,1,2,3,,
,DataFileReader.java,7,2,9,,
,DataFileWriter.java,5,4,9,,
,SeekableFileInput.java,1,2,3,,
,SeekableInput.java,0,2,2,,
,GenericArray.java,1,8,9,,
,GenericContainer.java,1,7,8,,
,GenericData.java,9,10,19,,
,GenericDatumReader.java,11,9,20,,
,GenericDatumWriter.java,9,11,20,,
,GenericFixed.java,0,4,4,,
,GenericRecord.java,1,6,7,,
,GenericRequestor.java,9,3,12,,
,GenericResponder.java,8,2,10,,
,BinaryData.java,5,3,8,,
,BinaryDecoder.java,7,10,17,,
,BinaryEncoder.java,7,12,19,,
,BlockingBinaryEncoder.java,4,4,8,,
,DatumWriter.java,19,27,46,,
,Decoder.java,38,31,69,,
,Encoder.java,27,31,58,,
,JsonDecoder.java,7,5,12,,
,JsonEncoder.java,9,2,11,,
,ParsingDecoder.java,4,3,7,,
,ParsingEncoder.java,2,2,4,,
,ParsingTable.java,0,0,0,,
,ResolvingDecoder.java,10,1,11,,
,ResolvingTable.java,0,0,0,,
,ValidatingDecoder.java,9,2,11,,
,ValidatingEncoder.java,8,1,9,,
,JsonGrammarGenerator.java,3,3,6,,
,Parser.java,4,9,13,,
,ResolvingGrammarGenerator.java,5,1,6,,
,SkipParser.java,2,3,5,,
,Symbol.java,0,11,11,,
,ValidatingGrammarGenerator.java,2,4,6,,
,AvroRemoteException.java,0,12,12,,
,ByteBufferInputStream.java,0,3,3,,
,ByteBufferOutputStream.java,0,3,3,,
,RPCContext.java,2,4,6,,
,RPCPlugin.java,1,3,4,,
,Requestor.java,49,12,61,,
,Responder.java,46,11,57,,
,SocketServer.java,2,7,9,,
,SocketTransceiver.java,1,8,9,,
,Transceiver.java,1,16,17,,
,FixedSize.java,0,2,2,,
,ReflectData.java,10,8,18,,
,ReflectDatumReader.java,4,6,10,,
,ReflectDatumWriter.java,5,5,10,,
,ReflectRequestor.java,12,3,15,,
,ReflectResponder.java,14,3,17,,
,ProtocolTask.java,2,1,3,,
,SchemaTask.java,2,0,2,,
,SpecificCompiler.java,2,2,4,,
,SpecificData.java,5,3,8,,
,SpecificDatumReader.java,3,5,8,,
,SpecificDatumWriter.java,3,5,8,,
,SpecificExceptionBase.java,4,0,4,,
,SpecificFixed.java,2,0,2,,
,SpecificRecord.java,1,5,6,,
,SpecificRecordBase.java,4,1,5,,
,SpecificRequestor.java,10,2,12,,
,SpecificResponder.java,6,2,8,,
,Utf8.java,1,28,29,,
,BarRecord.java,1,1,2,,
,FooRecord.java,0,1,1,,
,GenerateBlockingData.java,7,0,7,,
,RPCMetaTestPlugin.java,3,3,6,,
,RandomData.java,7,3,10,,
,TestCompare.java,11,0,11,,
,TestDataFile.java,10,0,10,,
,TestDataFileReflect.java,9,0,9,,
,TestFsData.java,12,0,12,,
,TestProtocolGeneric.java,14,1,15,,
,TestProtocolGenericMeta.java,7,0,7,,
,TestProtocolReflect.java,5,1,6,,
,TestProtocolReflectMeta.java,9,0,9,,
,TestProtocolSpecific.java,7,3,10,,
,TestProtocolSpecificMeta.java,8,0,8,,
,TestReflect.java,9,0,9,,
,TestSchema.java,15,0,15,,
,TestBinaryDecoder.java,3,0,3,,
,TestBlockingIO.java,4,0,4,,
,TestBlockingIO2.java,5,0,5,,
,TestParsingTable.java,0,0,0,,
,TestResolvingIO.java,6,1,7,,
