CommitID,FileNum,TotalAddLines,TotalDeleteLines,FileName,AddLines,DeleteLines,CodeLines,FileAdd,FileDelete
acba0fcdc047d14f0a28a88aec0a9b8b0cf524f8,2,4,1,src/java/org/apache/avro/Protocol.java,3,1,340,0,0
,,,,src/java/org/apache/avro/Schema.java,1,0,706,,
f49a465349ae11ffccfffb1ed0693363a8b28a87,0,0,0,/,-1,-1,-1,0,0
b062afaea6c4534bea3e2ec1387afb549da72570,2,350,0,src/java/org/apache/avro/io/BinaryData.java,190,0,0,2,0
,,,,src/test/java/org/apache/avro/TestCompare.java,160,0,0,,
490d0c72dc345c4683e9099e8f2b5244cffb868a,23,427,184,src/java/org/apache/avro/generic/GenericArray.java,1,1,37,2,0
,,,,src/java/org/apache/avro/generic/GenericContainer.java,27,0,0,,
,,,,src/java/org/apache/avro/generic/GenericData.java,155,10,280,,
,,,,src/java/org/apache/avro/generic/GenericDatumReader.java,5,5,463,,
,,,,src/java/org/apache/avro/generic/GenericDatumWriter.java,11,79,260,,
,,,,src/java/org/apache/avro/generic/GenericRecord.java,1,6,29,,
,,,,src/java/org/apache/avro/io/BinaryData.java,2,1,190,,
,,,,src/java/org/apache/avro/reflect/ReflectData.java,39,14,280,,
,,,,src/java/org/apache/avro/reflect/ReflectDatumWriter.java,4,18,80,,
,,,,src/java/org/apache/avro/reflect/ReflectRequestor.java,3,3,114,,
,,,,src/java/org/apache/avro/reflect/ReflectResponder.java,1,1,129,,
,,,,src/java/org/apache/avro/specific/SpecificCompiler.java,1,1,288,,
,,,,src/java/org/apache/avro/specific/SpecificData.java,67,0,0,,
,,,,src/java/org/apache/avro/specific/SpecificExceptionBase.java,1,1,41,,
,,,,src/java/org/apache/avro/specific/SpecificRecord.java,2,3,29,,
,,,,src/java/org/apache/avro/specific/SpecificRecordBase.java,12,5,65,,
,,,,src/java/org/apache/avro/specific/SpecificRequestor.java,8,7,80,,
,,,,src/java/org/apache/avro/util/Utf8.java,8,3,82,,
,,,,src/test/java/org/apache/avro/RandomData.java,2,1,138,,
,,,,src/test/java/org/apache/avro/TestCompare.java,63,13,160,,
,,,,src/test/java/org/apache/avro/TestDataFileReflect.java,3,3,176,,
,,,,src/test/java/org/apache/avro/TestReflect.java,4,4,155,,
,,,,src/test/java/org/apache/avro/TestSchema.java,7,5,290,,
c454652c1cd491976b894dc293856c8f73495725,0,0,0,/,-1,-1,-1,0,0
b43975aa1e773cd471f5771d7c7faac7a0f73a7c,5,150,107,src/java/org/apache/avro/Schema.java,23,1,707,0,0
,,,,src/java/org/apache/avro/generic/GenericData.java,8,4,425,,
,,,,src/java/org/apache/avro/io/BinaryData.java,89,88,191,,
,,,,src/java/org/apache/avro/specific/SpecificData.java,10,6,67,,
,,,,src/test/java/org/apache/avro/TestCompare.java,20,8,210,,
7d83e93e0d50487125d747265d2aa325cdce029d,0,0,0,/,-1,-1,-1,0,0
604f27bc286f17bb8b43c25c1aa3302882c80395,2,34,0,src/java/org/apache/avro/io/ParsingEncoder.java,17,0,53,0,0
,,,,src/test/java/org/apache/avro/io/TestResolvingIO_resolving.java,17,0,103,,
