Avro,,Calcite,,Cxf,,Groovy,,Zookeeper,
Release,commit,Release,commit,Release,commit,Release,commit,Release,commit
,100,,100,94.42613252,99.97319179,,99.87277354,,92.55583127
,100,,100,99.94408201,100,,100,,92.94710327
,100,,98.01887892,90.09427486,100,,97.96437659,,77.96610169
,100,,87.39082969,95.12826487,100,,100,,75.41401274
,100,,87.39082969,93.91528145,100,,97.37827715,,96.65841584
,100,,99.97828447,99.84331738,100,,100,,100
,100,,100,99.77268828,99.68877442,,100,,100
,100,,100,94.20834596,99.69364721,,97.3006135,,100
,100,,100,97.21257107,100,,100,,100
,100,,99.89130435,99.94696151,100,,100,,100
,100,,100,99.98573466,99.98924616,,95.53679131,,100
,100,,100,97.39756592,99.94623367,,100,,100
,100,,100,99.98586858,100,,96.37002342,,100
,100,,100,94.68891295,98.34812497,,92.68817204,,100
,100,,100,99.9597045,99.9803835,,99.00398406,,100
,100,,100,98.19462116,100,,100,,100
,100,,100,99.98924985,99.94610221,,99.80276134,,100
,99.84848485,,100,95.70732128,100,,100,,100
,99.54614221,,100,99.98485144,100,,100,,100
,84.44108761,,100,93.11879186,99.9951038,,100,,100
,84.63855422,,100,,99.97552379,,98.82468168,,100
,100,,100,,99.99021239,,100,,100
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,100,,97.66081871,,100
,100,,100,,100,,100,,100
,100,,100,,99.98532146,,100,,100
,100,,100,,99.9804334,,100,,100
,97.65395894,,100,,99.99510907,,100,,98.23232323
,100,,100,,99.96577184,,100,,100
,100,,100,,100,,100,,100
,100,,100,,99.99022292,,95.07874016,,98.22335025
,100,,100,,100,,100,,100
,100,,100,,99.92176804,,99.50544016,,100
,100,,100,,99.98533007,,100,,97.73869347
,100,,100,,100,,100,,100
,100,,100,,100,,99.60707269,,100
,100,,100,,99.9951105,,99.70530452,,100
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,99.96578523,,100,,100
,99.71428571,,100,,100,,99.31439765,,100
,100,,100,,100,,97.19535783,,98.6267166
,99.29078014,,100,,100,,99.52061361,,96.70200236
,100,,99.38478144,,100,,99.4269341,,100
,100,,99.26850258,,99.95601603,,95.80223881,,99.44629014
,100,,100,,100,,100,,99.56092206
,100,,100,,100,,99.81751825,,96.92765114
,100,,100,,99.99022483,,99.63570128,,100
,100,,100,,99.99022674,,100,,100
,100,,99.88126079,,100,,100,,100
,99.85875706,,100,,100,,100,,99.72826087
,94.73684211,,100,,100,,100,,100
,96.72131148,,99.98921949,,100,,99.63800905,,98.63512284
,100,,99.54594595,,100,,95.04950495,,100
,100,,100,,99.93161057,,100,,100
,100,,100,,100,,100,,100
,100,,100,,100,,99.82046679,,99.09338169
,93.37121212,,100,,100,,100,,100
,100,,100,,100,,100,,100
,99.88636364,,100,,100,,100,,100
,100,,100,,100,,95.22091975,,100
,100,,100,,100,,97.36098021,,91.42318567
,97.5308642,,100,,100,,100,,99.60474308
,100,,100,,99.99023342,,100,,100
,100,,100,,100,,100,,100
,100,,100,,98.67159749,,100,,94.07407407
,100,,100,,100,,100,,100
,100,,100,,99.92241672,,100,,100
,100,,100,,100,,99.51314508,,100
,100,,100,,100,,100,,98.06598407
,91.88235294,,100,,100,,100,,100
,100,,99.93498754,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,100,,99.80713597,,100
,100,,100,,100,,100,,100
,100,,99.85921594,,100,,100,,100
,100,,99.31885909,,100,,97.44318182,,100
,100,,100,,100,,100,,99.77375566
,100,,89.75646229,,99.63322233,,100,,100
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,100,,100,,100,,100
,100,,99.1622575,,99.89914029,,100,,100
,100,,100,,97.62762022,,96.36363636,,100
,97.0959596,,100,,100,,100,,100
,100,,99.70910718,,99.97972219,,100,,100
,100,,99.95507637,,100,,99.59677419,,100
