noArch,Arch
/,
Bug,
/,
Bug,
Bug,
Bug,
Bug,
Improvement,
Improvement,
Bug,
Bug,
Bug,
Bug,
Bug,
Sub-task,
Bug,
Bug,
Bug,
Bug,
/,
/,
/,
/,
/,
Sub-task,
Bug,
Improvement,
Task,
Task,
Improvement,
Task,
Task,
Sub-task,
Sub-task,
Sub-task,
Sub-task,
Sub-task,
Bug,
Bug,
Bug,
Sub-task,
Sub-task,
Sub-task,
Bug,
Bug,
Wish,
Wish,
Improvement,
Improvement,
Bug,
Bug,
Bug,
Bug,
/,
/,
/,
/,
/,
/,
Bug,
/,
Improvement,
Task,
/,
/,
Bug,
Bug,
Bug,
Bug,
New Feature,
Task,
Bug,
Improvement,
Improvement,
Improvement,
Improvement,
Wish,
/,
Wish,
Task,
Bug,
Improvement,
Improvement,
Bug,
Improvement,
Bug,
Bug,
Task,
Bug,
Improvement,
Bug,
Improvement,
Bug,
Improvement,
Bug,
Bug,
Bug,
Bug,
New Feature,
Improvement,
Improvement,
Bug,
Bug,
Bug,
Bug,
Sub-task,
Bug,
Bug,
Bug,
Bug,
Bug,
New Feature,
New Feature,
New Feature,
Bug,
New Feature,
Bug,
Bug,
Improvement,
Bug,
Bug,
New Feature,
Improvement,
/,
Improvement,
/,
/,
Bug,
Bug,
/,
/,
/,
Improvement,
Improvement,
New Feature,
New Feature,
New Feature,
New Feature,
New Feature,
Bug,
Improvement,
Improvement,
Improvement,
Improvement,
Improvement,
/,
Improvement,
Improvement,
Bug,
Improvement,
Bug,
Bug,
Bug,
Bug,
Improvement,
Bug,
Improvement,
Improvement,
Bug,
Improvement,
Bug,
Bug,
Bug,
Bug,
Improvement,
Improvement,
/,
/,
Bug,
Bug,
/,
Bug,
Bug,
Bug,
Bug,
Bug,
Bug,
Improvement,
Bug,
/,
Task,
Bug,
Improvement,
Bug,
Bug,
Bug,
Bug,
Improvement,
Bug,
Bug,
Bug,
Bug,
Improvement,
Bug,
Task,
Bug,
Bug,
Bug,
Improvement,
Bug,
Bug,
Bug,
Wish,
Bug,
Bug,
Wish,
Improvement,
Improvement,
Bug,
Bug,
Bug,
Bug,
Bug,
Improvement,
Bug,
Bug,
Improvement,
Improvement,
Bug,
New Feature,
Bug,
/,
,
/,
/,
/,
Bug,
Bug,
/,
,
/,
,
