NMF, TotalAddLines , TotalDeleteLines ,LC,LC_1, FileAdd , FileDelete ,NAD, NUC, AGE, NMS, NMD, Entropy ,MLMF,NDVE,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NFC,a2a,Tag
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,9,0,0,0,0,0,0,0,0,0,100,NoArch
3,108,13,95,121,1,0,1,39,348,1,2,1.451083153,693,3,1,1,109,100,9,4663,4233,430,65,57,8,98.93162393,NoArch
1,1,0,1,1,0,0,0,19,0,1,1,0,144,4,55,8,16,16,0,635,629,6,8,8,0,100,NoArch
2,48,37,11,85,0,0,0,23,170,1,2,0.450066658,349,9,8,1,32,21,11,2040,1754,286,17,11,6,100,NoArch
8,641,12,629,653,2,0,2,3,16,1,2,1.835681021,895,1,13,1,151,79,72,7268,4127,3141,52,30,22,98.96988906,NoArch
1,16,9,7,25,0,0,0,40,161,1,1,0,382,4,14,3,86,84,2,2125,2112,13,31,31,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,3,0,0,0,0,0,0,0,0,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100,NoArch
2,60,4,56,64,1,0,1,50,241,1,2,0.757878463,690,1,216,12,156,155,1,3930,3686,244,43,42,1,99.78319783,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,13,0,0,0,0,0,0,0,0,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,10,0,0,0,0,0,0,0,0,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0,0,100,NoArch
1,16,1,15,17,0,0,0,4,548,1,1,0,351,2,11,2,69,68,1,1617,1526,91,33,33,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,8,0,0,0,0,0,0,0,0,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,16,0,0,0,0,0,0,0,0,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,10,0,0,0,0,0,0,0,0,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,18,0,0,0,0,0,0,0,0,0,100,NoArch
4,46,27,19,73,0,0,0,30,82,1,4,1.515272249,1125,2,197,20,206,207,1,6725,6585,140,86,87,1,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,15,0,0,0,0,0,0,0,0,0,100,NoArch
18,367,157,210,524,0,0,0,40,37,1,8,2.616700083,5671,2,23,10,1234,1203,31,35331,34978,353,491,464,27,100,NoArch
1,3,6,3,9,0,0,0,19,199,1,1,0,374,3,28,2,48,48,0,1818,1839,21,29,29,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,6,0,0,0,0,0,0,0,0,0,100,NoArch
2,26,4,22,30,0,0,0,86,2374,1,2,0.881290899,1742,2,0,0,456,437,19,10507,9615,892,200,186,14,100,NoArch
5,92,25,67,117,0,0,0,19,158,1,2,0.642610328,745,3,76,6,85,71,14,3865,3545,320,63,52,11,100,NoArch
14,28,25,3,53,0,0,0,25,312,1,6,3.211678467,1390,1,359,6,135,135,0,7234,7208,26,90,90,0,100,NoArch
1,1,1,0,2,0,0,0,17,73,1,1,0,183,5,0,0,20,20,0,897,897,0,10,10,0,100,NoArch
5,25,92,67,117,0,0,0,17,80,1,2,0.642610328,812,2,12,0,71,85,14,3545,3865,320,52,63,11,100,NoArch
2,72,2,70,74,0,0,0,67,194,1,2,0.821812731,833,1,468,3,190,186,4,6240,5869,371,47,46,1,99.85627021,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,2,0,0,0,0,0,0,0,0,0,100,NoArch
3,108,13,95,121,1,0,1,39,362,1,2,1.451083153,693,3,1,0,109,100,9,4663,4233,430,65,57,8,98.93162393,NoArch
10,254,650,396,904,0,1,1,8,6,1,2,2.200533077,2305,1,0,0,173,193,20,9727,12385,2658,72,82,10,99.83450559,NoArch
1,1,1,0,2,0,0,0,46,0,1,1,0,346,9,1,1,55,55,0,1543,1537,6,26,26,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,10,0,0,0,0,0,0,0,0,0,100,NoArch
1,15,6,9,21,0,0,0,7,17,1,1,0,300,2,11,8,48,47,1,1667,1649,18,29,28,1,100,NoArch
1,3,3,0,6,0,0,0,78,103,1,1,0,1145,8,74,6,311,311,0,7013,7018,5,95,95,0,100,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,9,0,0,0,0,0,0,0,0,0,100,NoArch
13,51,367,316,418,0,1,1,55,134,1,9,2.82121212,3790,3,88,5,768,806,38,21226,23156,1930,307,319,12,99.83443709,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,100,NoArch
