NMF,TotalAddLines,TotalDeleteLines,LC,LC_1,FileAdd,FileDelete,NAD,NUC,AGE,NMS,NMD,Entropy ,MLMF,NDVE,EXP,REXP,CommitComplexity,LastCommitComplexity,CFC,CommitTokenCount,LastCommitTokenCount,NCC,CommitMethodNum,LastCommitMethodNum,NFC,NIR,a2a,Tag
10,810,260,550,1070,3,1,4,2,1351,1,4,2.323374212,1738,1,230,5,181,129,52,10007,8104,1903,75,45,30,1,98.88446215,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,29,0,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,93,10,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
1,1,1,0,2,0,0,0,69,445,1,1,0.0,1217,18,17,0,192,192,0,5639,5639,0,88,88,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,21,3,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,17,1,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
1,4,2,2,6,0,0,0,46,12,1,1,0.0,975,5,1,0,140,139,1,3590,3574,16,72,72,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,124,0,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
2,116,3,113,119,1,0,1,37,63,1,2,0.522559375,901,1,25,2,105,100,5,3923,3450,473,30,27,3,1,99.83831851,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,31,2,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,23,0,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
13,103,66,37,169,3,0,3,24,66,1,1,2.428084555,4772,4,56,6,589,582,7,20310,20070,240,178,178,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,266,0,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,89,10,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,50,12,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,147,4,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,123,1,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,34,1,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,20,3,0,0,0,0,0,0,0,0,0,0,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,55,0,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
4,0,0,0,0,0,0,0,3,20,1,1,0.0,0,1,115,3,0,0,0,0,0,0,0,0,0,1,99.36102236,NoArch
2,154,21,133,175,1,0,1,44,49,1,2,0.884755459,724,1,14,1,142,125,17,4881,4243,638,26,15,11,1,99.81507166,NoArch
1,42,14,28,56,0,0,0,5,103,1,1,0.0,162,2,99,3,16,13,3,1027,915,112,6,5,1,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,62,21,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
1,15,21,6,36,0,0,0,7,0,1,1,0.0,311,4,197,8,52,54,2,1390,1400,10,16,15,1,1,100.0,NoArch
0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,31,11,0,0,0,0,0,0,0,0,0,1,100.0,NoArch
